,Release Date,Season,Episode,Episode Title,Name,Sentence
14271,2015-04-12,Season 5,Episode 1,The Wars to Come,Sansa Stark,"If he wanted to betray us, he already would have."
14272,2015-04-12,Season 5,Episode 1,The Wars to Come,Petyr Baelish,"Lord Royce may be as honorable as he thinks he is, but he's not alone in that castle. Do you trust all those knights and ladies, stable boys and serving girls?"
14273,2015-04-12,Season 5,Episode 1,The Wars to Come,Sansa Stark,No. Do you trust the carriage driver or the knights escorting us?
14274,2015-04-12,Season 5,Episode 1,The Wars to Come,Petyr Baelish,"No. But I pay them well, and they've seen what happens to men who disappoint me."
14275,2015-04-12,Season 5,Episode 1,The Wars to Come,Sansa Stark,So where are we going? To a land where you trust everyone?
14276,2015-04-12,Season 5,Episode 1,The Wars to Come,Petyr Baelish,"So a land so far from here, even Cersei Lannister can't get her hands on you."
14277,2015-04-12,Season 5,Episode 1,The Wars to Come,Loras,"It was such a deep, deep shock to us all. Your father was a force to be reckoned with. He truly was. I wouldn't presume to claim to have known him as such…"
14278,2015-04-12,Season 5,Episode 1,The Wars to Come,Loras,But just being in his presence was enough to make it so clear just how formidable a person you were dealing with. What a… what a force to be reckoned with.
14279,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,Thank you so much for your kind words.
14280,2015-04-12,Season 5,Episode 1,The Wars to Come,Grand Maester Pyrcelle,"Deepest condolences, your grace. This tragedy… I never trusted Varys. I often warned…"
14281,2015-04-12,Season 5,Episode 1,The Wars to Come,Lancel Lannister,Your grace.
14282,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,Cousin Lancel. I hardly recognized you.
