,Release Date,Season,Episode,Episode Title,Name,Sentence
14283,2015-04-12,Season 5,Episode 1,The Wars to Come,Lancel,My deepest sympathies.
14284,2015-04-12,Season 5,Episode 1,The Wars to Come,Kevan Lannister,I apologize for my son's appearance.
14285,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,"Uncle, it's quite alright."
14286,2015-04-12,Season 5,Episode 1,The Wars to Come,Kevan,"They call themselves sparrows. Bloody fanatics. Religion has its place, of course, but at a certain point… They never would have come to the capital when Tywin was alive."
14287,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,I'm sure he'll grow out of it. Whatever it is. Excuse me.
14288,2015-04-12,Season 5,Episode 1,The Wars to Come,Kevan,Of course.
14289,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,Your wounds from the Blackwater seem to have healed.
14290,2015-04-12,Season 5,Episode 1,The Wars to Come,Lancel,It wasn't my wounds that needed healing.
14291,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,What can I do for you?
14292,2015-04-12,Season 5,Episode 1,The Wars to Come,Lancel,You can forgive me.
14293,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,What could you possibly have done to warrant my forgiveness?
14294,2015-04-12,Season 5,Episode 1,The Wars to Come,Lancel,I led you into the darkness.
14295,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,I doubt you've ever led anyone anywhere.
14296,2015-04-12,Season 5,Episode 1,The Wars to Come,Lancel,"I tempted you into our unnatural relations. And, of course, there was the king. His boar hunt. His wine."
14297,2015-04-12,Season 5,Episode 1,The Wars to Come,Cersei Lannister,I don't know what you're talking about.
